"単語","品詞","品詞細分類1","品詞細分類2","品詞細分類3","活用型","活用形","基本形","読み","発音","長さ","行番号","行内順序","評価"
"セン",""名詞","接尾","一般","*","*","*","セン","セン","セン"","2","47","5","99.0"
"パイ",""名詞","一般","*","*","*","*","パイ","パイ","パイ"","2","47","6","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","47","7","99.0"
"ＲＴ","名詞","未知語","*","*","*","*","ＲＴ","*","*","2","47","8","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","47","9","99.0"
"＠","名詞","未知語","*","*","*","*","＠","*","*","1","47","10","99.0"
"ｓａｔｏｓｈｉｉｉｉｉｉ：","名詞","未知語","*","*","*","*","ｓａｔｏｓｈｉｉｉｉｉｉ：","*","*","13","47","11","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","47","12","99.0"
"ビール",""名詞","一般","*","*","*","*","ビール","ビール","ビール"","3","47","13","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","47","14","99.0"
"シュウ",""名詞","固有名詞","人名","名","*","*","シュウ","シュウ","シュー"","3","47","15","99.0"
"マイ",""名詞","固有名詞","人名","名","*","*","マイ","マイ","マイ"","2","47","16","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","47","17","99.0"
"さっき",""副詞","助詞類接続","*","*","*","*","さっき","サッキ","サッキ"","3","47","18","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","47","19","99.0"
"リズム",""名詞","一般","*","*","*","*","リズム","リズム","リズム"","3","47","20","99.0"
"隊",""名詞","接尾","一般","*","*","*","隊","タイ","タイ"","1","47","21","99.0"
"練習",""名詞","サ変接続","*","*","*","*","練習","レンシュウ","レンシュー"","2","47","22","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","47","23","99.0"
"録音",""名詞","サ変接続","*","*","*","*","録音","ロクオン","ロクオン"","2","47","24","99.0"
"きい",""動詞","自立","*","*","五段・カ行イ音便","連用タ接続","きく","キイ","キイ"","2","47","25","99.0"
"てる",""動詞","非自立","*","*","一段","基本形","てる","テル","テル"","2","47","26","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","47","27","99.0"
"まだまだ",""副詞","助詞類接続","*","*","*","*","まだまだ","マダマダ","マダマダ"","4","47","28","99.0"
"つめ",""動詞","自立","*","*","一段","未然形","つめる","ツメ","ツメ"","2","47","29","99.0"
"れる",""動詞","接尾","*","*","一段","基本形","れる","レル","レル"","2","47","30","99.0"
"なー",""助詞","終助詞","*","*","*","*","なー","ナー","ナー"","2","47","31","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","47","32","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","47","33","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","47","34","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","47","35","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","47","36","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","47","37","99.0"
"酔わ",""動詞","自立","*","*","五段・ワ行促音便","未然形","酔う","ヨワ","ヨワ"","2","47","38","99.0"
"なく",""助動詞","*","*","*","特殊・ナイ","連用テ接続","ない","ナク","ナク"","2","47","39","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","47","40","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","47","41","99.0"
"き",""動詞","非自立","*","*","カ変・クル","連用形","くる","キ","キ"","1","47","42","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","47","43","99.0"
"なー",""助詞","終助詞","*","*","*","*","なー","ナー","ナー"","2","47","44","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","47","45","99.0"
"ビバストイック","名詞","未知語","*","*","*","*","ビバストイック","*","*","7","48","1","99.0"
"♪","名詞","未知語","*","*","*","*","♪","*","*","1","48","2","99.0"
"ＲＴ","名詞","未知語","*","*","*","*","ＲＴ","*","*","2","48","3","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","48","4","99.0"
"＠","名詞","未知語","*","*","*","*","＠","*","*","1","48","5","99.0"
"ｎｔｎｅｃｏ","名詞","未知語","*","*","*","*","ｎｔｎｅｃｏ","*","*","6","48","6","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","48","7","99.0"
"つい",""動詞","自立","*","*","五段・カ行イ音便","連用タ接続","つく","ツイ","ツイ"","2","48","8","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","48","9","99.0"
"いき",""動詞","非自立","*","*","五段・カ行促音便","連用形","いく","イキ","イキ"","2","48","10","99.0"
"ます",""名詞","一般","*","*","*","*","ます","マス","マス"","2","48","11","99.0"
"セン",""名詞","接尾","一般","*","*","*","セン","セン","セン"","2","48","12","99.0"
"パイ",""名詞","一般","*","*","*","*","パイ","パイ","パイ"","2","48","13","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","48","14","99.0"
"ＲＴ","名詞","未知語","*","*","*","*","ＲＴ","*","*","2","48","15","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","48","16","99.0"
"＠","名詞","未知語","*","*","*","*","＠","*","*","1","48","17","99.0"
"ｓａｔｏｓｈｉｉｉｉｉｉ：","名詞","未知語","*","*","*","*","ｓａｔｏｓｈｉｉｉｉｉｉ：","*","*","13","48","18","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","48","19","99.0"
"ビール",""名詞","一般","*","*","*","*","ビール","ビール","ビール"","3","48","20","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","48","21","99.0"
"シュウ",""名詞","固有名詞","人名","名","*","*","シュウ","シュウ","シュー"","3","48","22","99.0"
"マイ",""名詞","固有名詞","人名","名","*","*","マイ","マイ","マイ"","2","48","23","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","48","24","99.0"
"さっき",""副詞","助詞類接続","*","*","*","*","さっき","サッキ","サッキ"","3","48","25","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","48","26","99.0"
"リズム",""名詞","一般","*","*","*","*","リズム","リズム","リズム"","3","48","27","99.0"
"隊",""名詞","接尾","一般","*","*","*","隊","タイ","タイ"","1","48","28","99.0"
"練習",""名詞","サ変接続","*","*","*","*","練習","レンシュウ","レンシュー"","2","48","29","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","48","30","99.0"
"録音",""名詞","サ変接続","*","*","*","*","録音","ロクオン","ロクオン"","2","48","31","99.0"
"きい",""動詞","自立","*","*","五段・カ行イ音便","連用タ接続","きく","キイ","キイ"","2","48","32","99.0"
"てる",""動詞","非自立","*","*","一段","基本形","てる","テル","テル"","2","48","33","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","48","34","99.0"
"まだまだ",""副詞","助詞類接続","*","*","*","*","まだまだ","マダマダ","マダマダ"","4","48","35","99.0"
"つめ",""動詞","自立","*","*","一段","未然形","つめる","ツメ","ツメ"","2","48","36","99.0"
"れる",""動詞","接尾","*","*","一段","基本形","れる","レル","レル"","2","48","37","99.0"
"なー",""助詞","終助詞","*","*","*","*","なー","ナー","ナー"","2","48","38","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","48","39","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","48","40","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","48","41","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","48","42","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","48","43","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","48","44","99.0"
"酔わ",""動詞","自立","*","*","五段・ワ行促音便","未然形","酔う","ヨワ","ヨワ"","2","48","45","99.0"
"なく",""助動詞","*","*","*","特殊・ナイ","連用テ接続","ない","ナク","ナク"","2","48","46","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","48","47","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","48","48","99.0"
"き",""動詞","非自立","*","*","カ変・クル","連用形","くる","キ","キ"","1","48","49","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","48","50","99.0"
"なー",""助詞","終助詞","*","*","*","*","なー","ナー","ナー"","2","48","51","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","48","52","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","49","1","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","49","2","99.0"
"飲み干し",""動詞","自立","*","*","五段・サ行","連用形","飲み干す","ノミホシ","ノミホシ"","4","49","3","99.0"
"今日",""名詞","副詞可能","*","*","*","*","今日","キョウ","キョー"","2","49","4","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","49","5","99.0"
"寝る",""動詞","自立","*","*","一段","基本形","寝る","ネル","ネル"","2","49","6","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","49","7","99.0"
"＠ｎｏｉ＿０９０１","名詞","未知語","*","*","*","*","＠ｎｏｉ＿０９０１","*","*","9","50","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","50","2","99.0"
"黒",""名詞","一般","*","*","*","*","黒","クロ","クロ"","1","50","3","99.0"
"霧島",""名詞","固有名詞","地域","一般","*","*","霧島","キリシマ","キリシマ"","2","50","4","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","50","5","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","50","6","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","50","7","99.0"
"大好き",""名詞","形容動詞語幹","*","*","*","*","大好き","ダイスキ","ダイスキ"","3","50","8","99.0"
"で",""助動詞","*","*","*","特殊・ダ","連用形","だ","デ","デ"","1","50","9","99.0"
"健康",""名詞","形容動詞語幹","*","*","*","*","健康","ケンコウ","ケンコー"","2","50","10","99.0"
"に",""助詞","副詞化","*","*","*","*","に","ニ","ニ"","1","50","11","99.0"
"気遣う",""動詞","自立","*","*","五段・ワ行促音便","基本形","気遣う","キヅカウ","キズカウ"","3","50","12","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","50","13","99.0"
"と",""助詞","格助詞","引用","*","*","*","と","ト","ト"","1","50","14","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","50","15","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","50","16","99.0"
"追加",""名詞","サ変接続","*","*","*","*","追加","ツイカ","ツイカ"","2","50","17","99.0"
"出来る",""動詞","自立","*","*","一段","基本形","出来る","デキル","デキル"","3","50","18","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","50","19","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","50","20","99.0"
"さすが",""副詞","一般","*","*","*","*","さすが","サスガ","サスガ"","3","50","21","99.0"
"プロ",""名詞","一般","*","*","*","*","プロ","プロ","プロ"","2","50","22","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","50","23","99.0"
"幼女",""名詞","一般","*","*","*","*","幼女","ヨウジョ","ヨージョ"","2","50","24","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","50","25","99.0"
"＠ｎｏｉ＿０９０１","名詞","未知語","*","*","*","*","＠ｎｏｉ＿０９０１","*","*","9","51","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","51","2","99.0"
"黒",""名詞","一般","*","*","*","*","黒","クロ","クロ"","1","51","3","99.0"
"霧島",""名詞","固有名詞","地域","一般","*","*","霧島","キリシマ","キリシマ"","2","51","4","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","51","5","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","51","6","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","51","7","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","51","8","99.0"
"大好き",""名詞","形容動詞語幹","*","*","*","*","大好き","ダイスキ","ダイスキ"","3","51","9","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","51","10","99.0"
"健康",""名詞","形容動詞語幹","*","*","*","*","健康","ケンコウ","ケンコー"","2","51","11","99.0"
"志向",""名詞","サ変接続","*","*","*","*","志向","シコウ","シコー"","2","51","12","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","51","13","99.0"
"自称",""名詞","サ変接続","*","*","*","*","自称","ジショウ","ジショー"","2","51","14","99.0"
"身長",""名詞","一般","*","*","*","*","身長","シンチョウ","シンチョー"","2","51","15","99.0"
"１８９ｃｍ","名詞","未知語","*","*","*","*","１８９ｃｍ","*","*","5","51","16","99.0"
"純粋",""名詞","形容動詞語幹","*","*","*","*","純粋","ジュンスイ","ジュンスイ"","2","51","17","99.0"
"健全",""名詞","形容動詞語幹","*","*","*","*","健全","ケンゼン","ケンゼン"","2","51","18","99.0"
"イケメン","名詞","未知語","*","*","*","*","イケメン","*","*","4","51","19","99.0"
"ぴゅあ",""名詞","固有名詞","一般","*","*","*","ぴゅあ","ピュア","ピュア"","3","51","20","99.0"
"ホモ",""名詞","一般","*","*","*","*","ホモ","ホモ","ホモ"","2","51","21","99.0"
"ぱ","名詞","未知語","*","*","*","*","ぱ","*","*","1","51","22","99.0"
"ん",""名詞","非自立","一般","*","*","*","ん","ン","ン"","1","51","23","99.0"
"つ",""動詞","自立","*","*","五段・ラ行","体言接続特殊2","つる","ツ","ツ"","1","51","24","99.0"
"大好き",""名詞","形容動詞語幹","*","*","*","*","大好き","ダイスキ","ダイスキ"","3","51","25","99.0"
"つる",""名詞","一般","*","*","*","*","つる","ツル","ツル"","2","51","26","99.0"
